id_sesion,rol,texto,emocion
S043,familia,Hoy las emociones estuvo pesado; contenta.,alegría
S132,familia,"siento que, me cansa el descanso, pero sigo; calma.",esperanza
S020,familia,Hoy la escuela estuvo pesado; serena.,calma
S157,docente,"pues, siento un nudo por la atencion; me preocupa.",tristeza
S149,familia,Siento un nudo por el descanso; me frustra. y enojo,frustración
S029,familia,"o sea, siento que con la comunicación voy lento; en paz.",calma
S116,docente,"tal vez, con la rutina me siento contenta y calma. y respiro ",calma
S062,docente,"la verdad, estoy intentando con la comunicación y llorar.",tristeza
S120,familia,Siento un nudo por la escuela; esperanza. 😓,esperanza
S107,docente,"o sea, estoy intentando con la comunicación y ansiedad. y miedo",ansiedad
S026,familia,"o sea, con la escuela me siento desanimada y en paz.",calma
S078,familia,"como que, siento que con los cambios voy lento; confianza.",esperanza
S108,familia,"pues, hoy la tarea estuvo pesado; confianza.",esperanza
S054,familia,"mmm, siento que con la rutina voy lento; respiro.",calma
S042,familia,"o sea, noo se como manejar el descanso; me duele. y me pone triste",tristeza
S054,familia,"la verdad, hoy el descanso estuvo pesado; ánimo. y confianza",esperanza
S086,familia,"en fin, siento un nudo por la tarea; me pone triste. y me pone triste",tristeza
S065,familia,No sé cómo manejar la evaluación; ansiedad. 😓,ansiedad
S046,docente,"mmm, a ratos estoy contenta; ansiedad. y me preocupa ",ansiedad
S014,docente,"no sé, me cansa la conducta, pero sigo; salida.",esperanza
S114,familia,Estoy intentando con las emociones y nervios. y miedo,ansiedad
S071,docente,"a veces, siento un nudo por la escuela; me acelero.",ansiedad
S057,familia,"siento que, quisiera entender el descanso para estar mejor; me irrita. y enojo",frustración
S084,familia,"mmm, quisiera entender las emociones para estar mejor; esperanza.",esperanza
S079,docente,Siento q con las emociones voy lento; alegría. 😓,alegría
S078,familia,"noo sé, siento q con la atención voy lento; me acelero. 🙂",ansiedad
S149,familia,"no sé, a ratos estoy estresada; va a mejorar.",esperanza
S024,familia,"Me cansa la atención, pero sigo; calma.",calma
S111,docente,Siento un nudo por la tarea; desespero. ,frustración
S105,docente,"o sea, no se como manejar la escuela; me acelero.",ansiedad
S119,familia,"tal vez, no se como manejar las emociones; me duele.",tristeza
S068,familia,"o sea, no se como manejar la rutina; me duele.",tristeza
S145,familia,"en fin, hoy la rutina estuvo pesado; me frustra.",frustración
S116,familia,"la verdad, no se como manejar la escuela; salida.",esperanza
S125,familia,Siento que con el descanso voy lento; alegria.,alegría
S058,docente,"pues, me cansa la evaluación, pero sigo; respiro. y calma",calma
S019,familia,"a veces, me cansa la atención, pero sigo; serena. y serena",calma
S100,familia,"a veces, quisiera entender la comunicación para estar mejor; frustración.",frustración
S001,docente,"pues, siento un nudo por la tarea; en paz.",calma
S024,familia,"siento que, a ratos estoy contenta; me pone triste.",tristeza
S076,docente,Estoy intentando con el descanso y salida.,esperanza
S129,familia,A ratos estoy desanimada; miedo. y nervios,ansiedad
S034,familia,"en fin, a ratos estoy contenta; ilusión. y contenta",alegría
S132,familia,"a veces, quisiera entender el descanso para estar mejor; ansiedad.",tristeza
S143,familia,No se como manejar la escuela; me duele.,tristeza
S117,familia,Hoy los cambios estuvo pesado; vacío.,tristeza
S085,familia,"a veces, a ratos estoy serena; confianza. ",esperanza
S143,familia,Con los cambios me siento desanimada y me preocupa.,ansiedad
S051,familia,"siento que, no sé cómo manejar la tarea; nervios.",ansiedad
S081,docente,"pues, siento un nudo por la atencion; salida.",esperanza
S052,familia,"a veces, hoy la comunicación estuvo pesado; me duele. y me duele",tristeza
S011,familia,"no se, estoy intentando con el descanso y nervios.",ansiedad
S102,familia,"tal vez, quisiera entender las emociones para estar mejor; salida.",esperanza
S080,familia,"como q, hoy las emociones estuvo pesado; tristeza. 😓",tristeza
S135,docente,"Me cansa la escuela, pero sigo; nervios. y me acelero",ansiedad
S112,docente,Quisiera entender la comunicación para estar mejor; confianza. ,esperanza
S119,docente,"en fin, estoy intentando con la tarea y ilusión. y contenta 🙂",alegría
S049,familia,Quisiera entender la tarea para estar mejor; frustración. y enojo,frustración
S045,docente,A ratos estoy con esperanza; esperanza. y ánimo 😔,esperanza
S112,familia,Quisiera entender las emociones para estar mejor; me duele. 😓,tristeza
S113,familia,"siento que, quisiera entender la conducta para estar mejor; animo. y animo 🥲",esperanza
S093,familia,Siento q con la escuela voy lento; me pone triste.,tristeza
S127,familia,No se como manejar la rutina; me preocupa.,ansiedad
S092,docente,"en fin, siento un nudo por la escuela; tranquila.",calma
S057,familia,Quisiera entender la atención para estar mejor; miedo.,ansiedad
S052,familia,Hoy la rutina estuvo pesado; me preocupa.,tristeza
S126,docente,"tal vez, me cansa la rutina, pero sigo; ansiedad.",ansiedad
S158,docente,No sé cómo manejar la escuela; desespero. y me frustra,frustración
S076,docente,"pues, no se como manejar las emociones; alegria. 😮‍💨",alegría
S090,docente,"no sé, a ratos estoy estresada; miedo.",ansiedad
S155,docente,"pues, siento que con la conducta voy lento; contenta. y contenta",alegría
S116,familia,"tal vez, siento que con la conducta voy lento; va a mejorar. 😮‍💨",esperanza
S056,familia,Estoy intentando con las emociones y me preocupa. y me preocupa,ansiedad
S088,docente,No se como manejar la atencion; va a mejorar.,esperanza
S004,docente,"la verdad, estoy intentando con la atención y ilusión.",alegría
S018,familia,"noo sé, no sé cómo manejar la comunicación; serena. y calma",calma
S103,familia,"mmm, noo sé cómo manejar la atención; me frustra.",tristeza
S039,familia,Siento un nudo por la comunicación; salida. ,esperanza
S156,docente,"siento q, siento un nudo por las emociones; me preocupa.",ansiedad
S037,docente,Quisiera entender las emociones para estar mejor; respiro. y calma 🙂,calma
S044,familia,"no sé, hoy la atención estuvo pesado; en paz. 😓",calma
S030,familia,"a veces, a ratos estoy desanimada; tranquila. y respiro",calma
S141,familia,"como que, no sé cómo manejar las emociones; confianza.",esperanza
S039,docente,Estoy intentando con la tarea y alegría.,alegría
S097,familia,No se como manejar la rutina; me emociona.,alegría
S078,docente,"pues, a ratos estoy contenta; me acelero. 😮‍💨",ansiedad
S158,familia,Estoy intentando con la comunicación y me pone triste.,tristeza
S134,familia,"como que, siento que con la escuela voy lento; me preocupa.",ansiedad
S100,familia,"a veces, quisiera entender la tarea para estar mejor; frustracion. y me irrita",frustración
S122,docente,"en fin, con la comunicacion me siento agotada y enojo.",frustración
S042,familia,"la verdad, siento un nudo por la conducta; me preocupa.",ansiedad
S143,familia,"en fin, estoy intentando con los cambios y enojo.",frustración
S131,docente,"pues, hoy la escuela estuvo pesado; va a mejorar.",esperanza
S094,docente,Siento un nudo por la conducta; me pone triste. 😔,tristeza
S087,familia,Con la comunicacion me siento desanimada y ansiedad. y nervios,ansiedad
S018,familia,"no se, a ratos estoy desanimada; tristeza.",tristeza
S090,familia,No sé cómo manejar la rutina; confianza. y ánimo 😓,esperanza
S078,familia,"en fin, no se como manejar la escuela; contenta.",alegría
S118,docente,"no sé, no sé cómo manejar el descanso; esperanza.",esperanza
S068,docente,Hoy la evaluación estuvo pesado; enojo. y me irrita,frustración
S030,familia,Con la tarea me siento desanimada y salida. ,esperanza
S128,familia,"como que, a ratos estoy estresada; serena.",calma
S084,docente,"Me cansa la conducta, pero sigo; frustración.",frustración
S090,familia,"en fin, quisiera entender las emociones para estar mejor; tristeza. y tristeza",tristeza
S160,docente,Siento un nudo por la comunicación; me preocupa. y me preocupa,ansiedad
S122,familia,"en fin, quisiera entender la tarea para estar mejor; miedo. y miedo 😮‍💨",ansiedad
S023,familia,"tal vez, con la conducta me siento desanimada y ánimo.",esperanza
S084,familia,"como que, quisiera entender el descanso para estar mejor; me pone triste. ",tristeza
S080,familia,"mmm, no sé cómo manejar los cambios; serena. y calma 😮‍💨",calma
S147,familia,"la verdad, siento un nudo por la tarea; contenta.",alegría
S013,docente,A ratos estoy serena; calma. y respiro,calma
S057,familia,"o sea, no sé cómo manejar la tarea; calma. y tranquila",calma
S124,familia,"pues, quisiera entender la comunicación para estar mejor; me frustra. 🙂",frustración
S096,familia,No se como manejar los cambios; serena. y serena ,calma
S153,familia,"mmm, con los cambios me siento confundida y miedo. y ansiedad 😮‍💨",ansiedad
S100,docente,"la verdad, hoy la comunicacion estuvo pesado; me duele. y me pone triste",tristeza
S013,familia,"mmm, estoy intentando con el descanso y llorar.",tristeza
S110,familia,"en fin, no se como manejar el descanso; me frustra. y me frustra 🥲",frustración
S125,docente,"Me cansa las emociones, pero sigo; me frustra. y enojo",frustración
S016,familia,"o sea, hoy el descanso estuvo pesado; tranquila. 😓",calma
