id_sesion,texto,emocion,y_true,y_pred,prob_max,prob_ansiedad,prob_frustración,prob_tristeza,prob_calma,prob_esperanza,prob_alegría,label
S157,"pues, siento un nudo por la atencion; me preocupa.",tristeza,tristeza,ansiedad,0.9269561,0.9269561,0.01728763,0.027897473,0.009130433,0.01129109,0.0074372636,2
S120,Siento un nudo por la escuela; esperanza. 😓,esperanza,esperanza,esperanza,0.95152766,0.008027294,0.005165217,0.0060370974,0.015283578,0.95152766,0.013959167,4
S014,"no sé, me cansa la conducta, pero sigo; salida.",esperanza,esperanza,esperanza,0.9291076,0.008359568,0.007351146,0.007267745,0.038710196,0.9291076,0.009203668,4
S079,Siento q con las emociones voy lento; alegría. 😓,alegría,alegría,alegría,0.83721894,0.01616292,0.0145489,0.051438715,0.018738657,0.061891843,0.83721894,5
S024,"Me cansa la atención, pero sigo; calma.",calma,calma,calma,0.9324402,0.007859279,0.008792783,0.008443489,0.9324402,0.032478273,0.009985909,3
S119,"tal vez, no se como manejar las emociones; me duele.",tristeza,tristeza,tristeza,0.8753062,0.052126218,0.03579851,0.8753062,0.010015146,0.008300109,0.01845384,2
S068,"o sea, no se como manejar la rutina; me duele.",tristeza,tristeza,tristeza,0.86307764,0.06753612,0.026446758,0.86307764,0.012550545,0.010886085,0.019502977,2
S019,"a veces, me cansa la atención, pero sigo; serena. y serena",calma,calma,calma,0.9380944,0.0061420896,0.008623195,0.010895122,0.9380944,0.02405713,0.012188059,3
S024,"siento que, a ratos estoy contenta; me pone triste.",tristeza,tristeza,tristeza,0.9211459,0.017221252,0.022436885,0.9211459,0.01259713,0.0056386357,0.020960234,2
S011,"no se, estoy intentando con el descanso y nervios.",ansiedad,ansiedad,ansiedad,0.92729956,0.92729956,0.01813074,0.021640927,0.01231918,0.012955852,0.007653593,0
S080,"como q, hoy las emociones estuvo pesado; tristeza. 😓",tristeza,tristeza,tristeza,0.89603364,0.03158585,0.025307424,0.89603364,0.012989185,0.0074291592,0.026654705,2
S135,"Me cansa la escuela, pero sigo; nervios. y me acelero",ansiedad,ansiedad,ansiedad,0.9400216,0.9400216,0.009758458,0.023317557,0.010374215,0.010209307,0.0063189045,0
S119,"en fin, estoy intentando con la tarea y ilusión. y contenta 🙂",alegría,alegría,alegría,0.8538159,0.014390716,0.014216794,0.026039513,0.027696762,0.063840345,0.8538159,5
S049,Quisiera entender la tarea para estar mejor; frustración. y enojo,frustración,frustración,frustración,0.94304764,0.015876055,0.94304764,0.014283736,0.008830038,0.009317346,0.00864514,1
